"id"	"prob"	"ncomp"	"sizelargcomp"
"1"	"BIP-100_1"	0.0235563872661442	41	47
"2"	"BIP-100_2"	0.0361164337210357	13	88
"3"	"BIP-100_3"	0.0141095331776887	57	15
"4"	"BIP-100_4"	0.0527749575627968	6	95
"5"	"BIP-100_5"	0.0396427494473755	22	78
"6"	"BIP-100_6"	0.0328705403208733	21	74
"7"	"BIP-100_7"	0.0214301937678829	50	12
"8"	"BIP-100_8"	0.0064181344024837	80	5
"9"	"BIP-100_9"	0.0436643331404775	11	83
"10"	"BIP-100_10"	0.00281019874848425	91	3
"11"	"BIP-100_11"	0.0237733614491299	37	42
"12"	"BIP-100_12"	0.0406262590829283	13	85
"13"	"BIP-100_13"	0.00434904245194048	92	2
"14"	"BIP-100_14"	0.0551900295820087	7	92
"15"	"BIP-100_15"	0.011903651598841	65	14
"16"	"BIP-100_16"	0.017958357045427	49	22
"17"	"BIP-100_17"	0.0414461777871475	13	84
"18"	"BIP-100_18"	0.00594777003396302	84	4
"19"	"BIP-100_19"	0.0337587895989418	25	61
"20"	"BIP-100_20"	0.0236812723567709	42	46
"21"	"BIP-100_21"	0.015729940677993	56	15
"22"	"BIP-100_22"	0.0397500931005925	8	91
"23"	"BIP-100_23"	0.057127278232947	4	97
"24"	"BIP-100_24"	0.0267188454279676	32	37
"25"	"BIP-100_25"	0.0496134625235572	11	87
"26"	"BIP-100_26"	0.0373238616390154	24	72
"27"	"BIP-100_27"	0.0490853683836758	12	87
"28"	"BIP-100_28"	0.0376646009506658	25	52
"29"	"BIP-100_29"	0.0312711450504139	23	64
"30"	"BIP-100_30"	0.0119183778064325	70	7
"31"	"BIP-100_31"	0.0108361645974219	77	5
"32"	"BIP-100_32"	0.0410277720261365	20	79
"33"	"BIP-100_33"	0.0256870775436982	37	46
"34"	"BIP-100_34"	0.0397150769177824	15	83
"35"	"BIP-100_35"	0.0365918641258031	25	62
"36"	"BIP-100_36"	0.0531700720265508	9	91
"37"	"BIP-100_37"	0.00530032834969461	84	3
"38"	"BIP-100_38"	0.0268728032754734	42	37
"39"	"BIP-100_39"	0.0542311443155631	9	92
"40"	"BIP-100_40"	0.0548718334687874	9	92
"41"	"BIP-100_41"	0.0573149856319651	7	90
"42"	"BIP-100_42"	0.0310429490217939	32	50
"43"	"BIP-100_43"	0.0110303306300193	69	5
"44"	"BIP-100_44"	0.0506512616481632	10	90
"45"	"BIP-100_45"	0.0582031499873847	9	92
"46"	"BIP-100_46"	0.0403594290325418	19	81
"47"	"BIP-100_47"	0.00332425553351641	93	3
"48"	"BIP-100_48"	0.0454810281191021	11	88
"49"	"BIP-100_49"	0.0110604443773627	68	7
"50"	"BIP-100_50"	0.0126185100059956	78	5
"51"	"BIP-100_51"	0.0399940083688125	22	76
"52"	"BIP-100_52"	0.0272202351875603	31	49
"53"	"BIP-100_53"	0.0452881065895781	11	86
"54"	"BIP-100_54"	0.0501478747744113	6	95
"55"	"BIP-100_55"	0.0324320868495852	21	75
"56"	"BIP-100_56"	0.0198984030727297	46	15
"57"	"BIP-100_57"	0.0251589278317988	42	42
"58"	"BIP-100_58"	0.0070950266579166	80	6
"59"	"BIP-100_59"	0.0208945131814107	51	20
"60"	"BIP-100_60"	0.0107711794646457	78	7
"61"	"BIP-100_61"	0.00411126171704382	92	2
"62"	"BIP-100_62"	0.033455688371323	16	82
"63"	"BIP-100_63"	0.00478354217950255	92	3
"64"	"BIP-100_64"	0.0225966820120811	45	33
"65"	"BIP-100_65"	0.0369859622558579	24	74
"66"	"BIP-100_66"	0.0443337997281924	15	84
"67"	"BIP-100_67"	0.00579594160895795	91	3
"68"	"BIP-100_68"	0.00960280024912208	79	6
"69"	"BIP-100_69"	0.0458413919107988	10	90
"70"	"BIP-100_70"	0.0107448848197237	68	12
"71"	"BIP-100_71"	0.00424069890752435	90	3
"72"	"BIP-100_72"	0.0218333227979019	47	20
"73"	"BIP-100_73"	0.0388682407094166	21	75
"74"	"BIP-100_74"	0.0299374714493752	34	60
"75"	"BIP-100_75"	0.0244203276140615	46	20
"76"	"BIP-100_76"	0.0156366611458361	61	10
"77"	"BIP-100_77"	0.0402761149406433	14	80
"78"	"BIP-100_78"	0.00544625912792981	87	2
"79"	"BIP-100_79"	0.0492123186634853	6	94
"80"	"BIP-100_80"	0.00962669564411044	75	5
"81"	"BIP-100_81"	0.0502540471823886	4	97
"82"	"BIP-100_82"	0.0147457764018327	56	18
"83"	"BIP-100_83"	0.00451133091934025	91	4
"84"	"BIP-100_84"	0.0377018514694646	14	86
"85"	"BIP-100_85"	0.0382550475234166	12	89
"86"	"BIP-100_86"	0.0222443090518936	50	13
"87"	"BIP-100_87"	0.0538250761991367	8	92
"88"	"BIP-100_88"	0.0179068967280909	51	21
"89"	"BIP-100_89"	0.0158085568388924	67	9
"90"	"BIP-100_90"	0.0121982443565503	73	6
"91"	"BIP-100_91"	0.00475724777206778	88	3
"92"	"BIP-100_92"	0.0309639125084504	16	80
"93"	"BIP-100_93"	0.0410924294125289	7	94
"94"	"BIP-100_94"	0.0442002906650305	15	84
"95"	"BIP-100_95"	0.031014489387162	41	20
"96"	"BIP-100_96"	0.011588016548194	70	8
"97"	"BIP-100_97"	0.0379878328135237	19	77
"98"	"BIP-100_98"	0.0201065519498661	56	10
"99"	"BIP-100_99"	0.0127398131601512	64	11
"100"	"BIP-100_100"	0.0557579295476899	8	93
