"id"	"prob"	"ncomp"	"sizelargcomp"
"1"	"UNI-100_1"	0.0199175697359238	9	89
"2"	"UNI-100_2"	0.0323481312944195	5	96
"3"	"UNI-100_3"	0.0264755094916079	4	97
"4"	"UNI-100_4"	0.0303433341036908	7	94
"5"	"UNI-100_5"	0.0230411949270056	15	86
"6"	"UNI-100_6"	0.00915341010411561	56	19
"7"	"UNI-100_7"	0.00966178099572545	50	12
"8"	"UNI-100_8"	0.00992308824402173	50	12
"9"	"UNI-100_9"	0.00373342076932809	83	4
"10"	"UNI-100_10"	0.0367674817851669	3	98
"11"	"UNI-100_11"	0.0117485087551193	40	27
"12"	"UNI-100_12"	0.0429580605007768	2	99
"13"	"UNI-100_13"	0.0348231748607312	3	98
"14"	"UNI-100_14"	0.00324132070584739	83	3
"15"	"UNI-100_15"	0.0282422257733261	7	94
"16"	"UNI-100_16"	0.0240904790205406	13	84
"17"	"UNI-100_17"	0.0406916160271205	7	94
"18"	"UNI-100_18"	0.0322630665806769	4	97
"19"	"UNI-100_19"	0.0441594317068438	3	98
"20"	"UNI-100_20"	0.0113948249601987	34	21
"21"	"UNI-100_21"	0.0159743049674077	21	67
"22"	"UNI-100_22"	0.00997230962131315	45	32
"23"	"UNI-100_23"	0.00685280111917025	54	11
"24"	"UNI-100_24"	0.0137406456415255	37	47
"25"	"UNI-100_25"	0.00428886523268884	76	4
"26"	"UNI-100_26"	0.0406588597007473	2	99
"27"	"UNI-100_27"	0.0423626540820215	3	98
"28"	"UNI-100_28"	0.00484024390561903	77	9
"29"	"UNI-100_29"	0.0417575816215817	1	100
"30"	"UNI-100_30"	0.00686705946724311	71	14
"31"	"UNI-100_31"	0.019458531464922	21	79
"32"	"UNI-100_32"	0.00444088255411259	77	9
"33"	"UNI-100_33"	0.00412898600564796	70	13
"34"	"UNI-100_34"	0.0449003256519764	3	98
"35"	"UNI-100_35"	0.0212978344771548	18	82
"36"	"UNI-100_36"	0.0299166675091594	8	91
"37"	"UNI-100_37"	0.0409958874171903	1	100
"38"	"UNI-100_38"	0.0265669125868366	5	96
"39"	"UNI-100_39"	0.0177939651119311	20	77
"40"	"UNI-100_40"	0.0458097959928384	1	100
"41"	"UNI-100_41"	0.027068072649135	7	94
"42"	"UNI-100_42"	0.04153390503332	1	100
"43"	"UNI-100_43"	0.00528731072308155	69	6
"44"	"UNI-100_44"	0.0154943219012522	36	43
"45"	"UNI-100_45"	0.0194376368498861	16	84
"46"	"UNI-100_46"	0.00190386890125724	94	2
"47"	"UNI-100_47"	0.0149511340496	38	55
"48"	"UNI-100_48"	0.0102220485618496	41	26
"49"	"UNI-100_49"	0.020368531581305	18	78
"50"	"UNI-100_50"	0.0136976799021371	42	22
"51"	"UNI-100_51"	0.0180927193588865	17	76
"52"	"UNI-100_52"	0.0223252146597853	15	84
"53"	"UNI-100_53"	0.0359697676810766	6	95
"54"	"UNI-100_54"	0.0195851771290808	23	76
"55"	"UNI-100_55"	0.03333778522818	7	94
"56"	"UNI-100_56"	0.00739848995646965	64	12
"57"	"UNI-100_57"	0.0362327009689111	8	93
"58"	"UNI-100_58"	0.0271010238630767	8	92
"59"	"UNI-100_59"	0.0411773815798464	2	99
"60"	"UNI-100_60"	0.010662289049792	45	30
"61"	"UNI-100_61"	0.032872718598753	8	92
"62"	"UNI-100_62"	0.000972669389956426	99	2
"63"	"UNI-100_63"	0.0140548382198784	39	42
"64"	"UNI-100_64"	0.032478911274892	6	95
"65"	"UNI-100_65"	0.0425156386895486	2	99
"66"	"UNI-100_66"	0.0165619200436559	17	74
"67"	"UNI-100_67"	0.0231797794705162	19	79
"68"	"UNI-100_68"	0.0342938368824154	3	98
"69"	"UNI-100_69"	0.00897438992848773	51	20
"70"	"UNI-100_70"	0.022876595391387	14	86
"71"	"UNI-100_71"	0.0455305343841843	1	100
"72"	"UNI-100_72"	0.0418500496825875	2	99
"73"	"UNI-100_73"	0.0104007835149748	49	32
"74"	"UNI-100_74"	0.0400173616858234	3	97
"75"	"UNI-100_75"	4.16938556812507e-05	100	1
"76"	"UNI-100_76"	0.0422049378003345	2	99
"77"	"UNI-100_77"	0.0217855014596208	17	81
"78"	"UNI-100_78"	0.00679481184924661	63	10
"79"	"UNI-100_79"	0.0447538109021329	3	98
"80"	"UNI-100_80"	0.0377908668048104	2	99
"81"	"UNI-100_81"	0.023996445790195	8	93
"82"	"UNI-100_82"	0.031618861058899	3	97
"83"	"UNI-100_83"	0.0219491084260766	10	91
"84"	"UNI-100_84"	0.00440346830119702	74	6
"85"	"UNI-100_85"	0.013811953819095	32	47
"86"	"UNI-100_86"	0.00254407961388233	90	4
"87"	"UNI-100_87"	0.00600300784791512	73	6
"88"	"UNI-100_88"	0.0223688271865804	15	84
"89"	"UNI-100_89"	0.045244953897812	1	100
"90"	"UNI-100_90"	0.0222759972282809	10	91
"91"	"UNI-100_91"	0.0159834833398365	28	59
"92"	"UNI-100_92"	0.0345808799154978	9	92
"93"	"UNI-100_93"	0.0159509103102824	29	59
"94"	"UNI-100_94"	0.0418675772009992	1	100
"95"	"UNI-100_95"	0.0224019847716175	16	81
"96"	"UNI-100_96"	0.032692190800087	4	97
"97"	"UNI-100_97"	0.0382850019722893	5	96
"98"	"UNI-100_98"	0.0171458348937759	23	72
"99"	"UNI-100_99"	0.00264229581810017	87	5
"100"	"UNI-100_100"	0.00814317037748842	56	16
